"Number of days a trusted device remains valid before re-verification is required.","Aantal dagen dat een vertrouwd apparaat geldig blijft voordat herverificatie vereist is."
"Lockout","Blokkering"
"Throttle and lock accounts after repeated failed login attempts.","Beperk en blokkeer accounts na herhaalde mislukte inlogpogingen."
"Enable Lockout","Blokkering inschakelen"
"Maximum Failed Attempts","Maximaal aantal mislukte pogingen"
"Number of failed login attempts before the account is locked.","Aantal mislukte inlogpogingen voordat het account wordt geblokkeerd."
"Lockout Duration (minutes)","Blokkeringsduur (minuten)"
"How long an account stays locked after exceeding the failed-attempt threshold.","Hoe lang een account geblokkeerd blijft nadat de drempel voor mislukte pogingen is overschreden."
"Emergency fallback when passkey authentication blocks Admin access.","Noodterugval wanneer passkey-authenticatie de admintoegang blokkeert."
"Enable Emergency Recovery Mode","Noodherstelmodus inschakelen"
"Recovery Warning Text","Waarschuwingstekst herstel"
"Warning message displayed before an administrator enables emergency recovery.","Waarschuwing die wordt getoond voordat een beheerder noodherstel inschakelt."
"Track passkey adoption progress across administrators.","Volg de voortgang van passkey-adoptie onder beheerders."
"Enable Migration Dashboard","Migratiedashboard inschakelen"
"Enable Reminder Emails","Herinneringsmails inschakelen"
"Allow sending reminder emails to administrators who have not registered a passkey.","Sta het verzenden van herinneringsmails toe aan beheerders die nog geen passkey hebben geregistreerd."
"Security Dashboard Widget","Beveiligingsdashboard-widget"
"Configurable security-status widget on the Magento Admin dashboard.","Configureerbare beveiligingsstatus-widget op het Magento-admindashboard."
"Enable Dashboard Widget","Dashboard-widget inschakelen"
"Enabled by default after installation. Individual cards can be toggled below.","Standaard ingeschakeld na installatie. Individuele kaarten kunnen hieronder worden aan-/uitgezet."
"Refresh Interval (seconds)","Vernieuwingsinterval (seconden)"
"How often the dashboard widget refreshes its data.","Hoe vaak de dashboard-widget zijn gegevens vernieuwt."
"Card: Passkey Adoption","Kaart: Passkey-adoptie"
"Card: Admins Without Passkeys","Kaart: Beheerders zonder passkeys"
"Card: Passkey vs Password Login Ratio","Kaart: Verhouding passkey- versus wachtwoordlogins"
"Card: Active Lockouts","Kaart: Actieve blokkeringen"
"Card: Failed Logins (last 24h)","Kaart: Mislukte logins (laatste 24u)"
"Card: Health Status","Kaart: Statusoverzicht"
"Card: Recovery Mode Status","Kaart: Status herstelmodus"
"Card: Trusted Devices","Kaart: Vertrouwde apparaten"
"Card: Diagnostics Reports","Kaart: Diagnostiekrapporten"
"Card: Audit Events","Kaart: Auditgebeurtenissen"
"Card: Last Cleanup","Kaart: Laatste opschoning"
"Card: Last Security Event","Kaart: Laatste beveiligingsgebeurtenis"
"Card: Security Score","Kaart: Beveiligingsscore"
"Weighting for the 0-100 security score engine. Weights should sum to 100.","Weging voor de 0-100-beveiligingsscore-engine. De gewichten moeten optellen tot 100."
"Enable Security Score","Beveiligingsscore inschakelen"
"Weight: Authentication","Gewicht: Authenticatie"
"Relative weight of authentication controls in the total score.","Relatief gewicht van authenticatiemaatregelen in de totaalscore."
"Weight: Security","Gewicht: Beveiliging"
"Relative weight of platform security controls in the total score.","Relatief gewicht van platformbeveiligingsmaatregelen in de totaalscore."
"Weight: Operational","Gewicht: Operationeel"
"Relative weight of operational controls in the total score.","Relatief gewicht van operationele maatregelen in de totaalscore."
"Weight: Threats","Gewicht: Bedreigingen"
"Relative weight of active threat indicators in the total score.","Relatief gewicht van actieve dreigingsindicatoren in de totaalscore."
"Environment and configuration sanity checks for the module.","Omgevings- en configuratiecontroles voor de module."
"Enable Health Check","Statuscontrole inschakelen"
"Support diagnostics report generation and delivery.","Genereren en verzenden van supportdiagnostiekrapporten."
"Enable Diagnostics","Diagnostiek inschakelen"
"Support Email Recipient","Ontvanger supportmail"
"Destination address used when sending diagnostics reports to the developer.","Bestemmingsadres dat wordt gebruikt bij het verzenden van diagnostiekrapporten naar de ontwikkelaar."
"Support Reference Prefix","Voorvoegsel supportreferentie"
"Prefix used for the Support Reference ID in ZIP filenames, manifests, and emails.","Voorvoegsel voor de supportreferentie-ID in ZIP-bestandsnamen, manifesten en e-mails."
"Cleanup","Opschoning"
"Data retention and scheduled cleanup policies.","Beleid voor gegevensbewaring en geplande opschoning."
"Enable Scheduled Cleanup","Geplande opschoning inschakelen"
"Challenge Retention (days)","Challenge-bewaring (dagen)"
"How long expired WebAuthn challenges are retained before cleanup.","Hoe lang verlopen WebAuthn-challenges worden bewaard vóór opschoning."
"Diagnostics Retention (days)","Diagnostiek-bewaring (dagen)"
"How long generated diagnostics reports are retained before cleanup.","Hoe lang gegenereerde diagnostiekrapporten worden bewaard vóór opschoning."
"Audit Log Retention (days)","Auditlog-bewaring (dagen)"
"How long audit events are retained before cleanup.","Hoe lang auditgebeurtenissen worden bewaard vóór opschoning."
"Fail2Ban","Fail2Ban"
"Write parseable log lines for Fail2Ban to consume.","Schrijf leesbare logregels die Fail2Ban kan verwerken."
"Enable Fail2Ban Logging","Fail2Ban-logging inschakelen"
"Fail2Ban Log Path","Fail2Ban-logpad"
"Filesystem path (relative to the Magento root) for Fail2Ban-compatible log lines.","Bestandssysteempad (relatief aan de Magento-root) voor Fail2Ban-compatibele logregels."
"Optional white-label branding. Enabled by default with FalconMedia defaults.","Optionele white-label-branding. Standaard ingeschakeld met FalconMedia-standaarden."
"Enable Branding","Branding inschakelen"
"When enabled, the configured branding replaces the default FalconMedia branding.","Indien ingeschakeld vervangt de geconfigureerde branding de standaard FalconMedia-branding."
"Company Name","Bedrijfsnaam"
"Support Email","Support-e-mail"
"Support URL","Support-URL"
"Documentation URL","Documentatie-URL"
"Privacy Policy URL","URL privacybeleid"
"Footer Text","Voettekst"
"Primary Accent Color","Primaire accentkleur"
"Hex color used as the primary accent in branded surfaces (e.g. #1f2937).","Hexkleur gebruikt als primair accent in gebrande onderdelen (bijv. #1f2937)."
"Secondary Accent Color","Secundaire accentkleur"
"Hex color used as the secondary accent in branded surfaces (e.g. #2563eb).","Hexkleur gebruikt als secundair accent in gebrande onderdelen (bijv. #2563eb)."
"Email Templates","E-mailsjablonen"
"Transactional email templates used by the module.","Transactionele e-mailsjablonen die door de module worden gebruikt."
"Passkey Reminder Template","Sjabloon passkey-herinnering"
"Email sent to administrators who have not registered a passkey.","E-mail verzonden naar beheerders die nog geen passkey hebben geregistreerd."
"Lockout Notification Template","Sjabloon blokkeringsmelding"
"Email sent when an administrator account is locked out.","E-mail verzonden wanneer een beheerdersaccount wordt geblokkeerd."
"Recovery Notification Template","Sjabloon herstelmelding"
"Email sent when emergency recovery mode is enabled or disabled.","E-mail verzonden wanneer de noodherstelmodus wordt in- of uitgeschakeld."
"Diagnostics Report Template","Sjabloon diagnostiekrapport"
"Email used when sending a diagnostics report to the developer.","E-mail die wordt gebruikt bij het verzenden van een diagnostiekrapport naar de ontwikkelaar."
"Developer Options","Ontwikkelaarsopties"
"Diagnostics-only options. Do not enable on production unless instructed.","Opties uitsluitend voor diagnostiek. Niet inschakelen op productie tenzij geïnstrueerd."
"Enable Debug Logging","Debuglogging inschakelen"
"Write verbose module diagnostics to the Magento log. Keep disabled on production.","Schrijf uitgebreide modulediagnostiek naar het Magento-logboek. Laat uitgeschakeld op productie."
"ID","ID"
"Created At","Aangemaakt op"
"Event Type","Gebeurtenistype"
"Severity","Ernst"
"Actor (Admin User ID)","Uitvoerder (admingebruikers-ID)"
"Target (Admin User ID)","Doel (admingebruikers-ID)"
"IP Address","IP-adres"
"User Agent","User-agent"
"Support Reference ID","Supportreferentie-ID"
"Metadata","Metadata"
"Passkey Registration","Passkey-registratie"
"Passkey Login","Passkey-login"
"Password Login","Wachtwoordlogin"
"Login Failed","Login mislukt"
"Passkey Revoked","Passkey ingetrokken"
"Trusted Device Revoked","Vertrouwd apparaat ingetrokken"
"Account Lockout","Accountblokkering"
"Account Unlock","Account deblokkeren"
"Recovery Mode Enabled","Herstelmodus ingeschakeld"
"Recovery Mode Disabled","Herstelmodus uitgeschakeld"
"Diagnostics Report Generated","Diagnostiekrapport gegenereerd"
"Diagnostics Report Sent","Diagnostiekrapport verzonden"
"Data Cleanup","Gegevensopschoning"
"Migration Reminder Sent","Migratieherinnering verzonden"
"Configuration Change","Configuratiewijziging"
"Info","Info"
"Notice","Kennisgeving"
"Warning","Waarschuwing"
"Critical","Kritiek"
"WebAuthn","WebAuthn"
"Relying party and ceremony settings for passkey registration and login. Leave RP ID and origin empty to derive them from the store base URL.","Relying party- en ceremonie-instellingen voor passkey-registratie en -login. Laat rpId en origin leeg om ze af te leiden uit de basis-URL van de winkel."
"Relying Party Name","Relying party-naam"
"Human-readable name shown by the authenticator during registration. Falls back to the branding company name when empty.","Leesbare naam die de authenticator tijdens registratie toont. Valt terug op de bedrijfsnaam uit de branding indien leeg."
"Relying Party ID (rpId)","Relying party-ID (rpId)"
"Registrable domain used as the WebAuthn rpId (e.g. example.com). Leave empty to derive it from the store base URL host.","Registreerbaar domein dat als WebAuthn-rpId wordt gebruikt (bijv. example.com). Laat leeg om het af te leiden uit de host van de basis-URL van de winkel."
"Expected Origin","Verwachte origin"
"Origin expected in WebAuthn responses (e.g. https://example.com). Leave empty to derive it from the store base URL.","Origin die in WebAuthn-antwoorden wordt verwacht (bijv. https://example.com). Laat leeg om deze af te leiden uit de basis-URL van de winkel."
"User Verification","Gebruikersverificatie"
"WebAuthn userVerification requirement for registration and assertion ceremonies.","WebAuthn userVerification-vereiste voor registratie- en assertieceremonies."
"Resident Key","Resident key"
"WebAuthn residentKey requirement. Preferred or Required enables discoverable (usernameless) passkeys.","WebAuthn residentKey-vereiste. Preferred of Required maakt detecteerbare (gebruikersnaamloze) passkeys mogelijk."
"Ceremony Timeout (milliseconds)","Ceremonie-time-out (milliseconden)"
"Timeout hint passed to the browser WebAuthn ceremony.","Time-outhint die aan de WebAuthn-ceremonie van de browser wordt doorgegeven."
"Challenge Lifetime (seconds)","Levensduur challenge (seconden)"
"How long a generated challenge remains valid before it expires and must be reissued.","Hoe lang een gegenereerde challenge geldig blijft voordat deze verloopt en opnieuw moet worden uitgegeven."
"Required","Vereist"
"Preferred","Voorkeur"
"Discouraged","Afgeraden"
"The passkey challenge is invalid.","De passkey-challenge is ongeldig."
"The passkey challenge has expired.","De passkey-challenge is verlopen."
"The passkey challenge has already been used.","De passkey-challenge is al gebruikt."
"The passkey challenge does not match.","De passkey-challenge komt niet overeen."
"The passkey challenge does not match the requested user.","De passkey-challenge komt niet overeen met de gevraagde gebruiker."
"The passkey challenge could not be consumed.","De passkey-challenge kon niet worden verwerkt."
"The passkey response is incomplete.","Het passkey-antwoord is onvolledig."
"The passkey client data is missing.","De passkey-clientgegevens ontbreken."
"The passkey client data could not be read.","De passkey-clientgegevens konden niet worden gelezen."
"The passkey client data is malformed.","De passkey-clientgegevens zijn misvormd."
"Unexpected passkey ceremony type.","Onverwacht passkey-ceremonietype."
"The passkey origin is not allowed.","De passkey-origin is niet toegestaan."
"The passkey authenticator data is malformed.","De passkey-authenticatorgegevens zijn misvormd."
"The passkey attestation is missing required data.","De passkey-attestatie mist vereiste gegevens."
"The passkey attestation object is missing.","Het passkey-attestatieobject ontbreekt."
"The passkey attestation object could not be read.","Het passkey-attestatieobject kon niet worden gelezen."
"The passkey relying party could not be verified.","De passkey-relying party kon niet worden geverifieerd."
"User presence was not verified by the authenticator.","Gebruikersaanwezigheid is niet geverifieerd door de authenticator."
"User verification is required but was not performed.","Gebruikersverificatie is vereist maar is niet uitgevoerd."
"The passkey credential does not match the attestation.","De passkey-credential komt niet overeen met de attestatie."
"This passkey is already registered.","Deze passkey is al geregistreerd."
"The passkey credential is not recognised.","De passkey-credential wordt niet herkend."
"The passkey credential is no longer active.","De passkey-credential is niet langer actief."
"The passkey user handle does not match.","De passkey-gebruikershandle komt niet overeen."
"The passkey signature is invalid.","De passkey-handtekening is ongeldig."
"The passkey signature is malformed.","De passkey-handtekening is misvormd."
"The passkey sign counter is invalid.","De passkey-ondertekeningsteller is ongeldig."
"The passkey login could not be completed.","De passkey-login kon niet worden voltooid."
"The passkey public key is missing.","De openbare passkey-sleutel ontbreekt."
"The passkey public key is malformed.","De openbare passkey-sleutel is misvormd."
"The passkey public key could not be decoded.","De openbare passkey-sleutel kon niet worden gedecodeerd."
"Unsupported passkey public key algorithm.","Niet-ondersteund algoritme voor openbare passkey-sleutel."
"Unsupported passkey elliptic curve.","Niet-ondersteunde elliptische kromme voor passkey."
"Sign in with a passkey","Inloggen met een passkey"
"Waiting for your passkey…","Wachten op je passkey…"
"This browser does not support passkeys.","Deze browser ondersteunt geen passkeys."
"Manage Other Admins' Passkeys","Passkeys van andere beheerders beheren"
"Passkey Name Updated","Passkey-naam bijgewerkt"
"Passkey Setup","Passkey instellen"
"My Passkeys","Mijn passkeys"
"The passkey could not be found.","De passkey kon niet worden gevonden."
"Your passkey name has been updated.","Je passkey-naam is bijgewerkt."
"Your passkey has been revoked.","Je passkey is ingetrokken."
"The passkey has been revoked.","De passkey is ingetrokken."
"Please enter a name for this passkey.","Voer een naam in voor deze passkey."
"The passkey could not be registered. Please try again.","De passkey kon niet worden geregistreerd. Probeer het opnieuw."
"The passkey name could not be saved. Please try again.","De passkey-naam kon niet worden opgeslagen. Probeer het opnieuw."
"Welcome","Welkom"
"Register","Registreren"
"Name it","Naam geven"
"Finish","Voltooien"
"Set up a passkey for your Admin account","Stel een passkey in voor je adminaccount"
"Passkeys let you sign in with your device biometrics or security key instead of a password. They are phishing-resistant and cannot be reused across sites, which makes them far safer than passwords.","Met passkeys log je in met de biometrie of beveiligingssleutel van je apparaat in plaats van een wachtwoord. Ze zijn phishingbestendig en kunnen niet tussen sites worden hergebruikt, waardoor ze veel veiliger zijn dan wachtwoorden."
"You can use a built-in fingerprint or face sensor, your phone, or a hardware security key.","Je kunt een ingebouwde vingerafdruk- of gezichtssensor, je telefoon of een hardware-beveiligingssleutel gebruiken."
"Get started","Aan de slag"
"Create your passkey","Maak je passkey"
"Select ""Create Passkey"" and follow your browser prompt to register this device.","Selecteer ""Passkey maken"" en volg de prompt van je browser om dit apparaat te registreren."
"Create Passkey","Passkey maken"
"Passkey registered","Passkey geregistreerd"
"Give this passkey a name so you can recognise it later.","Geef deze passkey een naam zodat je hem later herkent."
"Passkey name","Passkey-naam"
"e.g. Work laptop","bijv. Werklaptop"
"Save name","Naam opslaan"
"You are all set","Je bent helemaal klaar"
"We recommend registering a second passkey (for example on your phone) as a backup, so you never lose access to the Admin.","We raden aan een tweede passkey (bijvoorbeeld op je telefoon) als back-up te registreren, zodat je nooit de toegang tot de admin verliest."
"Add another passkey","Nog een passkey toevoegen"
"Continue to Magento Admin","Doorgaan naar Magento-admin"
"Add passkey","Passkey toevoegen"
"You have no passkeys yet. Add one to sign in without a password.","Je hebt nog geen passkeys. Voeg er een toe om zonder wachtwoord in te loggen."
"Name","Naam"
"Device","Apparaat"
"Last Used At","Laatst gebruikt op"
"Status","Status"
"Actions","Acties"
"Never","Nooit"
"Rename","Hernoemen"
"Revoke","Intrekken"
"—","—"
"Active","Actief"
"Revoked","Ingetrokken"
"Unnamed passkey","Naamloze passkey"
"Unknown device","Onbekend apparaat"
"Attestation: %1","Attestatie: %1"
"AAGUID: %1","AAGUID: %1"
"Enter a new name for this passkey:","Voer een nieuwe naam in voor deze passkey:"
"Revoke this passkey? This cannot be undone.","Deze passkey intrekken? Dit kan niet ongedaan worden gemaakt."
"The action could not be completed. Please try again.","De actie kon niet worden voltooid. Probeer het opnieuw."
"Successful Logins Before Trust","Geslaagde logins vóór vertrouwen"
"Number of successful logins from a browser before it is remembered as a trusted device.","Aantal geslaagde logins vanaf een browser voordat deze als vertrouwd apparaat wordt onthouden."
"Failed Attempt Window (minutes)","Venster voor mislukte pogingen (minuten)"
"Rolling time window in which failed attempts are counted toward the lockout threshold.","Voortschrijdend tijdvenster waarin mislukte pogingen meetellen voor de blokkeringsdrempel."
"Recovery Auto-Expiry (minutes)","Automatisch verlopen herstel (minuten)"
"Emergency recovery mode disables itself automatically after this many minutes so it can never stay on indefinitely.","De noodherstelmodus schakelt zichzelf na dit aantal minuten automatisch uit, zodat deze nooit onbeperkt aan blijft."
"Trusted Device Created","Vertrouwd apparaat aangemaakt"
"Trusted Device Expired","Vertrouwd apparaat verlopen"
"Brute Force Detected","Brute force gedetecteerd"
"Expired","Verlopen"
"Released","Vrijgegeven"
"Admin User ID","Admingebruikers-ID"
"Device Label","Apparaatlabel"
"First Seen At","Voor het eerst gezien op"
"Last Seen At","Voor het laatst gezien op"
"Expires At","Verloopt op"
"Revoked At","Ingetrokken op"
"Username","Gebruikersnaam"
"Reason","Reden"
"Failed Attempts","Mislukte pogingen"
"Locked Until","Geblokkeerd tot"
"Unlocked At","Gedeblokkeerd op"
"Unlocked By (Admin User ID)","Gedeblokkeerd door (admingebruikers-ID)"
"Revoke trusted device","Vertrouwd apparaat intrekken"
"Revoke this trusted device? The browser will need to be trusted again.","Dit vertrouwde apparaat intrekken? De browser moet opnieuw worden vertrouwd."
"Unlock","Deblokkeren"
"Release lockout","Blokkering vrijgeven"
"Release this lockout so the account can log in again?","Deze blokkering vrijgeven zodat het account weer kan inloggen?"
"No trusted device was specified.","Er is geen vertrouwd apparaat opgegeven."
"The trusted device has been revoked.","Het vertrouwde apparaat is ingetrokken."
"The trusted device could not be found.","Het vertrouwde apparaat kon niet worden gevonden."
"The trusted device could not be revoked. Please try again.","Het vertrouwde apparaat kon niet worden ingetrokken. Probeer het opnieuw."
"Lockout Management","Blokkeringsbeheer"
"No lockout was specified.","Er is geen blokkering opgegeven."
"The lockout has been released.","De blokkering is vrijgegeven."
"The lockout could not be found.","De blokkering kon niet worden gevonden."
"The lockout could not be released. Please try again.","De blokkering kon niet worden vrijgegeven. Probeer het opnieuw."
"Emergency Recovery Mode","Noodherstelmodus"
"Invalid form key. Please try again.","Ongeldige formuliersleutel. Probeer het opnieuw."
"Emergency recovery mode is now ENABLED. Every action is audited; disable it as soon as access is restored.","Noodherstelmodus is nu INGESCHAKELD. Elke actie wordt geaudit; schakel deze uit zodra de toegang is hersteld."
"Emergency recovery mode could not be enabled. Please try again.","Noodherstelmodus kon niet worden ingeschakeld. Probeer het opnieuw."
"Emergency recovery mode is now disabled.","Noodherstelmodus is nu uitgeschakeld."
"Emergency recovery mode could not be disabled. Please try again.","Noodherstelmodus kon niet worden uitgeschakeld. Probeer het opnieuw."
"Recovery mode is currently ENABLED.","Herstelmodus is momenteel INGESCHAKELD."
"Recovery mode is currently disabled.","Herstelmodus is momenteel uitgeschakeld."
"Last State","Laatste status"
"Enabled At","Ingeschakeld op"
"Disabled At","Uitgeschakeld op"
"Recovery mode auto-expires after %1 minutes so it can never stay on indefinitely.","Herstelmodus verloopt automatisch na %1 minuten, zodat deze nooit onbeperkt aan blijft."
"Disable emergency recovery mode now?","Noodherstelmodus nu uitschakelen?"
"Reason (optional)","Reden (optioneel)"
"Disable Recovery Mode","Herstelmodus uitschakelen"
"Enable emergency recovery mode? This is audited and should only be used to restore blocked Admin access.","Noodherstelmodus inschakelen? Dit wordt geaudit en mag alleen worden gebruikt om geblokkeerde admintoegang te herstellen."
"Enable Recovery Mode","Herstelmodus inschakelen"
"Too many failed attempts. Please try again later.","Te veel mislukte pogingen. Probeer het later opnieuw."
"Too many failed attempts. This account is temporarily locked. Please try again later.","Te veel mislukte pogingen. Dit account is tijdelijk geblokkeerd. Probeer het later opnieuw."
"Emergency recovery mode is disabled in configuration.","Noodherstelmodus is uitgeschakeld in de configuratie."
"Emergency recovery mode is already enabled.","Noodherstelmodus is al ingeschakeld."
"Emergency recovery mode is not currently enabled.","Noodherstelmodus is momenteel niet ingeschakeld."
"Passkey Migration Dashboard","Passkey-migratiedashboard"
"Passkey Health Check","Passkey-statuscontrole"
"Passkey Security Score","Passkey-beveiligingsscore"
"Passkey Diagnostics","Passkey-diagnostiek"
"Passkey Data Cleanup","Passkey-gegevensopschoning"
"Migration Dashboard","Migratiedashboard"
"Health Check","Statuscontrole"
"Security Score","Beveiligingsscore"
"Diagnostics","Diagnostiek"
"Data Cleanup","Gegevensopschoning"
"Username","Gebruikersnaam"
"Name","Naam"
"Role","Rol"
"2FA","2FA"
"Passkey","Passkey"
"Passkeys","Passkeys"
"Trusted Devices","Vertrouwde apparaten"
"Onboarding","Onboarding"
"Lockout","Blokkering"
"Last Login","Laatste login"
"Last Passkey Login","Laatste passkey-login"
"Counts","Aantallen"
"Categories","Categorieën"
"Rating","Beoordeling"
"Captured At","Vastgelegd op"
"Action","Actie"
"Download","Downloaden"
"Registered","Geregistreerd"
"Missing","Ontbreekt"
"Complete","Volledig"
"Required","Vereist"
"Optional","Optioneel"
"Configured","Geconfigureerd"
"Not configured","Niet geconfigureerd"
"Locked","Geblokkeerd"
"None","Geen"
"Pending","In behandeling"
"Generated","Gegenereerd"
"Send Passkey Reminder","Passkey-herinnering verzenden"
"Send a passkey migration reminder to the selected administrators? Admins that already have a passkey are skipped.","Een passkey-migratieherinnering verzenden naar de geselecteerde beheerders? Beheerders die al een passkey hebben, worden overgeslagen."
"Send to Developer","Naar ontwikkelaar sturen"
"Email the selected diagnostics reports to the configured developer?","De geselecteerde diagnostiekrapporten naar de geconfigureerde ontwikkelaar e-mailen?"
"Reminders sent: %1, skipped: %2, failed: %3.","Herinneringen verzonden: %1, overgeslagen: %2, mislukt: %3."
"Could not send the reminders: %1","Kon de herinneringen niet verzenden: %1"
"Diagnostics bundle %1 was generated.","Diagnostiekbundel %1 is gegenereerd."
"Could not generate the bundle: %1","Kon de bundel niet genereren: %1"
"Could not download the bundle: %1","Kon de bundel niet downloaden: %1"
"Reports sent: %1, failed: %2.","Rapporten verzonden: %1, mislukt: %2."
"Could not send the reports: %1","Kon de rapporten niet verzenden: %1"
"Cleanup completed successfully.","Opschoning succesvol voltooid."
"Cleanup completed with errors. Check the cleanup log for details.","Opschoning voltooid met fouten. Bekijk het opschoningslogboek voor details."
"Could not run cleanup: %1","Kon de opschoning niet uitvoeren: %1"
"Security score snapshot saved: %1 (%2).","Beveiligingsscore-momentopname opgeslagen: %1 (%2)."
"Could not capture a snapshot: %1","Kon geen momentopname vastleggen: %1"
"Reminder emails are disabled in configuration.","Herinneringsmails zijn uitgeschakeld in de configuratie."
"This administrator has no email address on file.","Voor deze beheerder is geen e-mailadres bekend."
"This administrator already has an active passkey.","Deze beheerder heeft al een actieve passkey."
"The administrator could not be found.","De beheerder kon niet worden gevonden."
"The reminder email could not be sent. Please try again.","De herinneringsmail kon niet worden verzonden. Probeer het opnieuw."
"Diagnostics are disabled in configuration.","Diagnostiek is uitgeschakeld in de configuratie."
"A valid support reference could not be generated.","Er kon geen geldige supportreferentie worden gegenereerd."
"The diagnostics bundle could not be generated. Please try again.","De diagnostiekbundel kon niet worden gegenereerd. Probeer het opnieuw."
"No support email is configured. Set one in the Diagnostics configuration.","Er is geen support-e-mail geconfigureerd. Stel er een in bij de diagnostiekconfiguratie."
"The diagnostics report could not be sent. Please try again.","Het diagnostiekrapport kon niet worden verzonden. Probeer het opnieuw."
"This report has no downloadable bundle.","Dit rapport heeft geen downloadbare bundel."
"The bundle path is invalid.","Het bundelpad is ongeldig."
"The bundle file no longer exists on the server.","Het bundelbestand bestaat niet meer op de server."
"The diagnostics archive could not be created.","Het diagnostiekarchief kon niet worden aangemaakt."
"Health Overview","Statusoverzicht"
"Overall status: %1","Algemene status: %1"
"%1 error(s), %2 warning(s).","%1 fout(en), %2 waarschuwing(en)."
"Check","Controle"
"Details","Details"
"Current Security Score","Huidige beveiligingsscore"
"Recalculate & Snapshot","Herberekenen & momentopname"
"Rating: %1","Beoordeling: %1"
"Category Breakdown","Uitsplitsing per categorie"
"Category","Categorie"
"Recommendations","Aanbevelingen"
"No recommendations — your configuration looks great.","Geen aanbevelingen — je configuratie ziet er prima uit."
"Generate Diagnostics Bundle","Diagnostiekbundel genereren"
"Bundles never contain passwords, keys or tokens. Logs are sanitised.","Bundels bevatten nooit wachtwoorden, sleutels of tokens. Logs worden opgeschoond."
"Run Cleanup Now","Opschoning nu uitvoeren"
"Removes expired data per the configured retention windows.","Verwijdert verlopen gegevens volgens de geconfigureerde bewaartermijnen."
"Encourage more administrators to register a passkey.","Moedig meer beheerders aan om een passkey te registreren."
"Enable passkey-first login so passkeys are offered before passwords.","Schakel passkey-eerst inloggen in zodat passkeys vóór wachtwoorden worden aangeboden."
"Consider disabling password fallback once every admin has a passkey.","Overweeg de wachtwoord-fallback uit te schakelen zodra elke beheerder een passkey heeft."
"Serve the Admin over HTTPS; WebAuthn requires a secure context.","Bied de admin aan via HTTPS; WebAuthn vereist een beveiligde context."
"Enable lockout protection to throttle brute-force attempts.","Schakel blokkeringsbescherming in om brute-force-pogingen af te remmen."
"Enable scheduled cleanup so expired data does not accumulate.","Schakel geplande opschoning in zodat verlopen gegevens zich niet ophopen."
"Resolve the failing health checks to improve your score.","Los de mislukte statuscontroles op om je score te verbeteren."
"Disable emergency recovery mode now that access is restored.","Schakel de noodherstelmodus uit nu de toegang is hersteld."
"Review the active lockouts for signs of an attack.","Bekijk de actieve blokkeringen op tekenen van een aanval."
"Logo","Logo"
"Icon","Pictogram"
"Background Image (optional)","Achtergrondafbeelding (optioneel)"
"Wizard Illustration","Wizard-illustratie"
"Dashboard Icon","Dashboardpictogram"
"Accepted: SVG, PNG, JPG, WebP. SVG files are sanitised before storage.","Toegestaan: SVG, PNG, JPG, WebP. SVG-bestanden worden opgeschoond vóór opslag."
