"Admin Passkey","Passkey admin"
"Enable Recovery Mode","Abilita la modalità di ripristino"
"Too many failed attempts. Please try again later.","Troppi tentativi falliti. Riprova più tardi."
"Too many failed attempts. This account is temporarily locked. Please try again later.","Troppi tentativi falliti. Questo account è temporaneamente bloccato. Riprova più tardi."
"Emergency recovery mode is disabled in configuration.","La modalità di ripristino di emergenza è disabilitata nella configurazione."
"Emergency recovery mode is already enabled.","La modalità di ripristino di emergenza è già abilitata."
"Emergency recovery mode is not currently enabled.","La modalità di ripristino di emergenza non è attualmente abilitata."
"Passkey Migration Dashboard","Dashboard di migrazione delle passkey"
"Passkey Health Check","Controllo di stato delle passkey"
"Passkey Security Score","Punteggio di sicurezza delle passkey"
"Passkey Diagnostics","Diagnostica delle passkey"
"Passkey Data Cleanup","Pulizia dei dati delle passkey"
"Migration Dashboard","Dashboard di migrazione"
"Health Check","Controllo di stato"
"Security Score","Punteggio di sicurezza"
"Diagnostics","Diagnostica"
"Data Cleanup","Pulizia dei dati"
"Username","Nome utente"
"Name","Nome"
"Role","Ruolo"
"2FA","2FA"
"Passkeys","Passkey"
"Trusted Devices","Dispositivi attendibili"
"Onboarding","Onboarding"
"Lockout","Blocco"
"Last Login","Ultimo accesso"
"Last Passkey Login","Ultimo accesso con passkey"
"Counts","Conteggi"
"Categories","Categorie"
"Rating","Valutazione"
"Captured At","Acquisito il"
"Action","Azione"
"Download","Scarica"
"Registered","Registrato"
"Missing","Mancante"
"Complete","Completo"
"Required","Obbligatorio"
"Optional","Facoltativo"
"Configured","Configurato"
"Not configured","Non configurato"
"Locked","Bloccato"
"None","Nessuno"
"Pending","In sospeso"
"Generated","Generato"
"Send Passkey Reminder","Invia promemoria passkey"
"Send a passkey migration reminder to the selected administrators? Admins that already have a passkey are skipped.","Inviare un promemoria di migrazione passkey agli amministratori selezionati? Gli amministratori che hanno già una passkey vengono saltati."
"Send to Developer","Invia allo sviluppatore"
"Email the selected diagnostics reports to the configured developer?","Inviare via email i report diagnostici selezionati allo sviluppatore configurato?"
"Reminders sent: %1, skipped: %2, failed: %3.","Promemoria inviati: %1, saltati: %2, falliti: %3."
"Could not send the reminders: %1","Impossibile inviare i promemoria: %1"
"Diagnostics bundle %1 was generated.","Il pacchetto diagnostico %1 è stato generato."
"Could not generate the bundle: %1","Impossibile generare il pacchetto: %1"
"Could not download the bundle: %1","Impossibile scaricare il pacchetto: %1"
"Reports sent: %1, failed: %2.","Report inviati: %1, falliti: %2."
"Could not send the reports: %1","Impossibile inviare i report: %1"
"Cleanup completed successfully.","Pulizia completata con successo."
"Cleanup completed with errors. Check the cleanup log for details.","Pulizia completata con errori. Consulta il registro di pulizia per i dettagli."
"Could not run cleanup: %1","Impossibile eseguire la pulizia: %1"
"Security score snapshot saved: %1 (%2).","Istantanea del punteggio di sicurezza salvata: %1 (%2)."
"Could not capture a snapshot: %1","Impossibile acquisire un'istantanea: %1"
"Reminder emails are disabled in configuration.","Le email di promemoria sono disabilitate nella configurazione."
"This administrator has no email address on file.","Per questo amministratore non è registrato alcun indirizzo email."
"This administrator already has an active passkey.","Questo amministratore ha già una passkey attiva."
"The administrator could not be found.","Impossibile trovare l'amministratore."
"The reminder email could not be sent. Please try again.","Non è stato possibile inviare l'email di promemoria. Riprova."
"Diagnostics are disabled in configuration.","La diagnostica è disabilitata nella configurazione."
"A valid support reference could not be generated.","Non è stato possibile generare un riferimento di supporto valido."
"The diagnostics bundle could not be generated. Please try again.","Non è stato possibile generare il pacchetto diagnostico. Riprova."
"No support email is configured. Set one in the Diagnostics configuration.","Nessuna email di supporto configurata. Impostane una nella configurazione della diagnostica."
"The diagnostics report could not be sent. Please try again.","Non è stato possibile inviare il report diagnostico. Riprova."
"This report has no downloadable bundle.","Questo report non ha alcun pacchetto scaricabile."
"The bundle path is invalid.","Il percorso del pacchetto non è valido."
"The bundle file no longer exists on the server.","Il file del pacchetto non esiste più sul server."
"The diagnostics archive could not be created.","Non è stato possibile creare l'archivio diagnostico."
"Health Overview","Panoramica dello stato"
"Overall status: %1","Stato complessivo: %1"
"%1 error(s), %2 warning(s).","%1 errore/i, %2 avviso/i."
"Check","Controllo"
"Details","Dettagli"
"Current Security Score","Punteggio di sicurezza attuale"
"Recalculate & Snapshot","Ricalcola e acquisisci"
"Rating: %1","Valutazione: %1"
"Category Breakdown","Ripartizione per categoria"
"Category","Categoria"
"Recommendations","Raccomandazioni"
"No recommendations — your configuration looks great.","Nessuna raccomandazione — la tua configurazione è ottima."
"Generate Diagnostics Bundle","Genera pacchetto diagnostico"
"Bundles never contain passwords, keys or tokens. Logs are sanitised.","I pacchetti non contengono mai password, chiavi o token. I log vengono depurati."
"Run Cleanup Now","Esegui la pulizia ora"
"Removes expired data per the configured retention windows.","Rimuove i dati scaduti in base alle finestre di conservazione configurate."
"Encourage more administrators to register a passkey.","Incoraggia più amministratori a registrare una passkey."
"Enable passkey-first login so passkeys are offered before passwords.","Abilita l'accesso con passkey prioritario in modo che le passkey vengano offerte prima delle password."
"Consider disabling password fallback once every admin has a passkey.","Valuta di disabilitare il ripiego con password una volta che ogni amministratore ha una passkey."
"Serve the Admin over HTTPS; WebAuthn requires a secure context.","Servi l'area amministrativa tramite HTTPS; WebAuthn richiede un contesto sicuro."
"Enable lockout protection to throttle brute-force attempts.","Abilita la protezione con blocco per limitare i tentativi di forza bruta."
"Enable scheduled cleanup so expired data does not accumulate.","Abilita la pulizia pianificata in modo che i dati scaduti non si accumulino."
"Resolve the failing health checks to improve your score.","Risolvi i controlli di stato falliti per migliorare il tuo punteggio."
"Disable emergency recovery mode now that access is restored.","Disabilita la modalità di ripristino di emergenza ora che l'accesso è stato ripristinato."
"Review the active lockouts for signs of an attack.","Esamina i blocchi attivi per individuare segni di un attacco."
"Logo","Logo"
"Icon","Icona"
"Background Image (optional)","Immagine di sfondo (facoltativa)"
"Wizard Illustration","Illustrazione della procedura guidata"
"Dashboard Icon","Icona della dashboard"
"Accepted: SVG, PNG, JPG, WebP. SVG files are sanitised before storage.","Accettati: SVG, PNG, JPG, WebP. I file SVG vengono depurati prima dell'archiviazione."
"Optional login background. Accepted: SVG, PNG, JPG, WebP.","Sfondo di accesso facoltativo. Accettati: SVG, PNG, JPG, WebP."
"Illustration shown in the passkey setup wizard. Accepted: SVG, PNG, JPG, WebP.","Illustrazione mostrata nella procedura guidata di configurazione della passkey. Accettati: SVG, PNG, JPG, WebP."
"Icon shown on the Admin dashboard widget. Accepted: SVG, PNG, JPG, WebP.","Icona mostrata nel widget della dashboard admin. Accettati: SVG, PNG, JPG, WebP."
"Login Intro Copy","Testo introduttivo dell'accesso"
"Text shown above the passkey button on the Admin login. Leave empty for the default.","Testo mostrato sopra il pulsante della passkey nell'accesso admin. Lascia vuoto per il valore predefinito."
"Wizard Intro Copy","Testo introduttivo della procedura guidata"
"Text shown at the start of the passkey setup wizard. Leave empty for the default.","Testo mostrato all'inizio della procedura guidata di configurazione della passkey. Lascia vuoto per il valore predefinito."
"Diagnostics Intro Copy","Testo introduttivo della diagnostica"
"Text shown on the diagnostics screen. Leave empty for the default.","Testo mostrato nella schermata della diagnostica. Lascia vuoto per il valore predefinito."
"Security Score Label: Poor","Etichetta punteggio di sicurezza: Scarso"
