"Admin Passkey","Admin-Passkey"
"The passkey challenge is invalid.","Die Passkey-Challenge ist ungültig."
"The passkey challenge has expired.","Die Passkey-Challenge ist abgelaufen."
"The passkey challenge has already been used.","Die Passkey-Challenge wurde bereits verwendet."
"The passkey challenge does not match.","Die Passkey-Challenge stimmt nicht überein."
"The passkey challenge does not match the requested user.","Die Passkey-Challenge stimmt nicht mit dem angeforderten Benutzer überein."
"The passkey challenge could not be consumed.","Die Passkey-Challenge konnte nicht verarbeitet werden."
"The passkey response is incomplete.","Die Passkey-Antwort ist unvollständig."
"The passkey client data is missing.","Die Passkey-Client-Daten fehlen."
"The passkey client data could not be read.","Die Passkey-Client-Daten konnten nicht gelesen werden."
"The passkey client data is malformed.","Die Passkey-Client-Daten sind fehlerhaft."
"Unexpected passkey ceremony type.","Unerwarteter Passkey-Ceremony-Typ."
"The passkey origin is not allowed.","Die Passkey-Origin ist nicht zulässig."
"The passkey authenticator data is malformed.","Die Passkey-Authentifikatordaten sind fehlerhaft."
"The passkey attestation is missing required data.","Der Passkey-Attestation fehlen erforderliche Daten."
"The passkey attestation object is missing.","Das Passkey-Attestation-Objekt fehlt."
"The passkey attestation object could not be read.","Das Passkey-Attestation-Objekt konnte nicht gelesen werden."
"The passkey relying party could not be verified.","Die Passkey-Relying-Party konnte nicht verifiziert werden."
"User presence was not verified by the authenticator.","Die Anwesenheit des Benutzers wurde vom Authentifikator nicht verifiziert."
"User verification is required but was not performed.","Die Benutzerverifizierung ist erforderlich, wurde aber nicht durchgeführt."
"The passkey credential does not match the attestation.","Die Passkey-Anmeldeinformation stimmt nicht mit der Attestation überein."
"This passkey is already registered.","Dieser Passkey ist bereits registriert."
"The passkey credential is not recognised.","Die Passkey-Anmeldeinformation wird nicht erkannt."
"The passkey credential is no longer active.","Die Passkey-Anmeldeinformation ist nicht mehr aktiv."
"The passkey user handle does not match.","Das Passkey-Benutzer-Handle stimmt nicht überein."
"The passkey signature is invalid.","Die Passkey-Signatur ist ungültig."
"The passkey signature is malformed.","Die Passkey-Signatur ist fehlerhaft."
"The passkey sign counter is invalid.","Der Passkey-Signaturzähler ist ungültig."
"The passkey login could not be completed.","Der Passkey-Login konnte nicht abgeschlossen werden."
"The passkey public key is missing.","Der öffentliche Passkey-Schlüssel fehlt."
"The passkey public key is malformed.","Der öffentliche Passkey-Schlüssel ist fehlerhaft."
"The passkey public key could not be decoded.","Der öffentliche Passkey-Schlüssel konnte nicht dekodiert werden."
"Unsupported passkey public key algorithm.","Nicht unterstützter Algorithmus für den öffentlichen Passkey-Schlüssel."
"Unsupported passkey elliptic curve.","Nicht unterstützte elliptische Kurve für Passkey."
"Sign in with a passkey","Mit einem Passkey anmelden"
"Waiting for your passkey…","Warte auf Ihren Passkey…"
"This browser does not support passkeys.","Dieser Browser unterstützt keine Passkeys."
"Manage Other Admins' Passkeys","Passkeys anderer Administratoren verwalten"
"Passkey Name Updated","Passkey-Name aktualisiert"
"Passkey Setup","Passkey-Einrichtung"
"My Passkeys","Meine Passkeys"
"The passkey could not be found.","Der Passkey konnte nicht gefunden werden."
"Your passkey name has been updated.","Ihr Passkey-Name wurde aktualisiert."
"Your passkey has been revoked.","Ihr Passkey wurde widerrufen."
"The passkey has been revoked.","Der Passkey wurde widerrufen."
"Please enter a name for this passkey.","Bitte geben Sie einen Namen für diesen Passkey ein."
"The passkey could not be registered. Please try again.","Der Passkey konnte nicht registriert werden. Bitte versuchen Sie es erneut."
"The passkey name could not be saved. Please try again.","Der Passkey-Name konnte nicht gespeichert werden. Bitte versuchen Sie es erneut."
"Welcome","Willkommen"
"Register","Registrieren"
"Name it","Benennen"
"Finish","Fertigstellen"
"Set up a passkey for your Admin account","Richten Sie einen Passkey für Ihr Admin-Konto ein"
"Passkeys let you sign in with your device biometrics or security key instead of a password. They are phishing-resistant and cannot be reused across sites, which makes them far safer than passwords.","Mit Passkeys melden Sie sich mit der Biometrie Ihres Geräts oder einem Sicherheitsschlüssel statt mit einem Passwort an. Sie sind phishing-resistent und können nicht über verschiedene Websites hinweg wiederverwendet werden, was sie weitaus sicherer als Passwörter macht."
"You can use a built-in fingerprint or face sensor, your phone, or a hardware security key.","Sie können einen integrierten Fingerabdruck- oder Gesichtssensor, Ihr Telefon oder einen Hardware-Sicherheitsschlüssel verwenden."
"Get started","Loslegen"
"Create your passkey","Erstellen Sie Ihren Passkey"
"Select ""Create Passkey"" and follow your browser prompt to register this device.","Wählen Sie ""Passkey erstellen"" und folgen Sie der Aufforderung Ihres Browsers, um dieses Gerät zu registrieren."
"Create Passkey","Passkey erstellen"
"Passkey registered","Passkey registriert"
"Give this passkey a name so you can recognise it later.","Geben Sie diesem Passkey einen Namen, damit Sie ihn später wiedererkennen."
"Passkey name","Passkey-Name"
"e.g. Work laptop","z. B. Arbeitslaptop"
"Save name","Namen speichern"
"You are all set","Alles bereit"
"We recommend registering a second passkey (for example on your phone) as a backup, so you never lose access to the Admin.","Wir empfehlen, einen zweiten Passkey (zum Beispiel auf Ihrem Telefon) als Backup zu registrieren, damit Sie nie den Zugriff auf den Admin verlieren."
"Add another passkey","Weiteren Passkey hinzufügen"
"Continue to Magento Admin","Weiter zum Magento-Admin"
"Add passkey","Passkey hinzufügen"
"You have no passkeys yet. Add one to sign in without a password.","Sie haben noch keine Passkeys. Fügen Sie einen hinzu, um sich ohne Passwort anzumelden."
"Name","Name"
"Device","Gerät"
"Last Used At","Zuletzt verwendet am"
"Status","Status"
"Actions","Aktionen"
"Never","Nie"
"Rename","Umbenennen"
"Revoke","Widerrufen"
"—","—"
"Active","Aktiv"
"Revoked","Widerrufen"
"Unnamed passkey","Unbenannter Passkey"
"Unknown device","Unbekanntes Gerät"
"Attestation: %1","Attestation: %1"
"AAGUID: %1","AAGUID: %1"
"Enter a new name for this passkey:","Geben Sie einen neuen Namen für diesen Passkey ein:"
"Revoke this passkey? This cannot be undone.","Diesen Passkey widerrufen? Dies kann nicht rückgängig gemacht werden."
"The action could not be completed. Please try again.","Die Aktion konnte nicht abgeschlossen werden. Bitte versuchen Sie es erneut."
"Successful Logins Before Trust","Erfolgreiche Logins vor Vertrauen"
"Number of successful logins from a browser before it is remembered as a trusted device.","Anzahl der erfolgreichen Logins von einem Browser, bevor dieser als vertrauenswürdiges Gerät gemerkt wird."
"Failed Attempt Window (minutes)","Zeitfenster für fehlgeschlagene Versuche (Minuten)"
"Rolling time window in which failed attempts are counted toward the lockout threshold.","Gleitendes Zeitfenster, in dem fehlgeschlagene Versuche auf den Sperrschwellenwert angerechnet werden."
"Recovery Auto-Expiry (minutes)","Automatischer Ablauf der Wiederherstellung (Minuten)"
"Emergency recovery mode disables itself automatically after this many minutes so it can never stay on indefinitely.","Der Notfall-Wiederherstellungsmodus deaktiviert sich nach dieser Anzahl von Minuten automatisch, sodass er nie unbegrenzt aktiv bleiben kann."
"Trusted Device Created","Vertrauenswürdiges Gerät erstellt"
"Trusted Device Expired","Vertrauenswürdiges Gerät abgelaufen"
"Brute Force Detected","Brute-Force erkannt"
"Expired","Abgelaufen"
"Released","Freigegeben"
"Admin User ID","Admin-Benutzer-ID"
"Device Label","Gerätebezeichnung"
"First Seen At","Zuerst gesehen am"
"Last Seen At","Zuletzt gesehen am"
"Expires At","Läuft ab am"
"Revoked At","Widerrufen am"
"Username","Benutzername"
"Reason","Grund"
"Failed Attempts","Fehlgeschlagene Versuche"
"Locked Until","Gesperrt bis"
"Unlocked At","Entsperrt am"
"Unlocked By (Admin User ID)","Entsperrt von (Admin-Benutzer-ID)"
"Revoke trusted device","Vertrauenswürdiges Gerät widerrufen"
"Revoke this trusted device? The browser will need to be trusted again.","Dieses vertrauenswürdige Gerät widerrufen? Dem Browser muss erneut vertraut werden."
"Unlock","Entsperren"
"Release lockout","Sperre freigeben"
"Release this lockout so the account can log in again?","Diese Sperre freigeben, damit sich das Konto wieder anmelden kann?"
"No trusted device was specified.","Es wurde kein vertrauenswürdiges Gerät angegeben."
"The trusted device has been revoked.","Das vertrauenswürdige Gerät wurde widerrufen."
"The trusted device could not be found.","Das vertrauenswürdige Gerät konnte nicht gefunden werden."
"The trusted device could not be revoked. Please try again.","Das vertrauenswürdige Gerät konnte nicht widerrufen werden. Bitte versuchen Sie es erneut."
"Lockout Management","Sperrverwaltung"
"No lockout was specified.","Es wurde keine Sperre angegeben."
"The lockout has been released.","Die Sperre wurde freigegeben."
"The lockout could not be found.","Die Sperre konnte nicht gefunden werden."
"The lockout could not be released. Please try again.","Die Sperre konnte nicht freigegeben werden. Bitte versuchen Sie es erneut."
"Emergency Recovery Mode","Notfall-Wiederherstellungsmodus"
"Invalid form key. Please try again.","Ungültiger Formularschlüssel. Bitte versuchen Sie es erneut."
"Emergency recovery mode is now ENABLED. Every action is audited; disable it as soon as access is restored.","Der Notfall-Wiederherstellungsmodus ist jetzt AKTIVIERT. Jede Aktion wird protokolliert; deaktivieren Sie ihn, sobald der Zugriff wiederhergestellt ist."
"Emergency recovery mode could not be enabled. Please try again.","Der Notfall-Wiederherstellungsmodus konnte nicht aktiviert werden. Bitte versuchen Sie es erneut."
"Emergency recovery mode is now disabled.","Der Notfall-Wiederherstellungsmodus ist jetzt deaktiviert."
"Emergency recovery mode could not be disabled. Please try again.","Der Notfall-Wiederherstellungsmodus konnte nicht deaktiviert werden. Bitte versuchen Sie es erneut."
"Recovery mode is currently ENABLED.","Der Wiederherstellungsmodus ist derzeit AKTIVIERT."
"Recovery mode is currently disabled.","Der Wiederherstellungsmodus ist derzeit deaktiviert."
"Last State","Letzter Zustand"
"Enabled At","Aktiviert am"
"Disabled At","Deaktiviert am"
"Recovery mode auto-expires after %1 minutes so it can never stay on indefinitely.","Der Wiederherstellungsmodus läuft nach %1 Minuten automatisch ab, sodass er nie unbegrenzt aktiv bleiben kann."
"Disable emergency recovery mode now?","Notfall-Wiederherstellungsmodus jetzt deaktivieren?"
"Reason (optional)","Grund (optional)"
"Disable Recovery Mode","Wiederherstellungsmodus deaktivieren"
"Enable emergency recovery mode? This is audited and should only be used to restore blocked Admin access.","Notfall-Wiederherstellungsmodus aktivieren? Dies wird protokolliert und sollte nur verwendet werden, um blockierten Admin-Zugriff wiederherzustellen."
"Enable Recovery Mode","Wiederherstellungsmodus aktivieren"
"Too many failed attempts. Please try again later.","Zu viele fehlgeschlagene Versuche. Bitte versuchen Sie es später erneut."
"Too many failed attempts. This account is temporarily locked. Please try again later.","Zu viele fehlgeschlagene Versuche. Dieses Konto ist vorübergehend gesperrt. Bitte versuchen Sie es später erneut."
"Emergency recovery mode is disabled in configuration.","Der Notfall-Wiederherstellungsmodus ist in der Konfiguration deaktiviert."
"Emergency recovery mode is already enabled.","Der Notfall-Wiederherstellungsmodus ist bereits aktiviert."
"Emergency recovery mode is not currently enabled.","Der Notfall-Wiederherstellungsmodus ist derzeit nicht aktiviert."
"Passkey Migration Dashboard","Passkey-Migrations-Dashboard"
"Passkey Health Check","Passkey-Systemprüfung"
"Passkey Security Score","Passkey-Sicherheitsbewertung"
"Passkey Diagnostics","Passkey-Diagnose"
"Passkey Data Cleanup","Passkey-Datenbereinigung"
"Migration Dashboard","Migrations-Dashboard"
"Health Check","Systemprüfung"
"Security Score","Sicherheitsbewertung"
"Diagnostics","Diagnose"
"Data Cleanup","Datenbereinigung"
"Username","Benutzername"
"Name","Name"
"Role","Rolle"
"2FA","2FA"
"Passkey","Passkey"
"Passkeys","Passkeys"
"Trusted Devices","Vertrauenswürdige Geräte"
"Onboarding","Onboarding"
"Lockout","Sperre"
"Last Login","Letzter Login"
"Last Passkey Login","Letzter Passkey-Login"
"Counts","Anzahl"
"Categories","Kategorien"
"Rating","Bewertung"
"Captured At","Erfasst am"
"Action","Aktion"
"Download","Herunterladen"
"Registered","Registriert"
"Missing","Fehlt"
"Complete","Vollständig"
"Required","Erforderlich"
"Optional","Optional"
"Configured","Konfiguriert"
"Not configured","Nicht konfiguriert"
"Locked","Gesperrt"
"None","Keine"
"Pending","Ausstehend"
"Generated","Erstellt"
"Send Passkey Reminder","Passkey-Erinnerung senden"
"Send a passkey migration reminder to the selected administrators? Admins that already have a passkey are skipped.","Eine Passkey-Migrationserinnerung an die ausgewählten Administratoren senden? Administratoren, die bereits einen Passkey haben, werden übersprungen."
"Send to Developer","An Entwickler senden"
"Email the selected diagnostics reports to the configured developer?","Die ausgewählten Diagnoseberichte an den konfigurierten Entwickler senden?"
"Reminders sent: %1, skipped: %2, failed: %3.","Erinnerungen gesendet: %1, übersprungen: %2, fehlgeschlagen: %3."
"Could not send the reminders: %1","Die Erinnerungen konnten nicht gesendet werden: %1"
"Diagnostics bundle %1 was generated.","Diagnosepaket %1 wurde erstellt."
"Could not generate the bundle: %1","Das Paket konnte nicht erstellt werden: %1"
"Could not download the bundle: %1","Das Paket konnte nicht heruntergeladen werden: %1"
"Reports sent: %1, failed: %2.","Berichte gesendet: %1, fehlgeschlagen: %2."
"Could not send the reports: %1","Die Berichte konnten nicht gesendet werden: %1"
"Cleanup completed successfully.","Bereinigung erfolgreich abgeschlossen."
"Cleanup completed with errors. Check the cleanup log for details.","Bereinigung mit Fehlern abgeschlossen. Prüfen Sie das Bereinigungsprotokoll auf Details."
"Could not run cleanup: %1","Bereinigung konnte nicht ausgeführt werden: %1"
"Security score snapshot saved: %1 (%2).","Sicherheitsbewertungs-Momentaufnahme gespeichert: %1 (%2)."
"Could not capture a snapshot: %1","Es konnte keine Momentaufnahme erfasst werden: %1"
"Reminder emails are disabled in configuration.","Erinnerungs-E-Mails sind in der Konfiguration deaktiviert."
"This administrator has no email address on file.","Für diesen Administrator ist keine E-Mail-Adresse hinterlegt."
"This administrator already has an active passkey.","Dieser Administrator hat bereits einen aktiven Passkey."
"The administrator could not be found.","Der Administrator konnte nicht gefunden werden."
"The reminder email could not be sent. Please try again.","Die Erinnerungs-E-Mail konnte nicht gesendet werden. Bitte versuchen Sie es erneut."
"Diagnostics are disabled in configuration.","Die Diagnose ist in der Konfiguration deaktiviert."
"A valid support reference could not be generated.","Es konnte keine gültige Support-Referenz erstellt werden."
"The diagnostics bundle could not be generated. Please try again.","Das Diagnosepaket konnte nicht erstellt werden. Bitte versuchen Sie es erneut."
"No support email is configured. Set one in the Diagnostics configuration.","Es ist keine Support-E-Mail konfiguriert. Legen Sie eine in der Diagnose-Konfiguration fest."
"The diagnostics report could not be sent. Please try again.","Der Diagnosebericht konnte nicht gesendet werden. Bitte versuchen Sie es erneut."
